date,mode,count
2024-06-17,AAR,31993
2024-06-18,AAR,36105
2024-06-19,AAR,26431
2024-06-20,AAR,36445
2024-06-21,AAR,34695
2024-06-22,AAR,21970
2024-06-23,AAR,21789
2024-06-24,AAR,33300
2024-06-25,AAR,36669
2024-06-26,AAR,36344
2024-06-27,AAR,35155
2024-06-28,AAR,34111
2024-06-29,AAR,21904
2024-06-30,AAR,20851
2024-07-01,AAR,32979
2024-07-02,AAR,35200
2024-07-03,AAR,36949
2024-07-04,AAR,17646
2024-07-05,AAR,28776
2024-07-06,AAR,19730
2024-07-07,AAR,22640
2024-07-08,AAR,33105
2024-07-09,AAR,35500
2024-07-10,AAR,37417
2024-07-11,AAR,35691
2024-07-12,AAR,34090
2024-07-13,AAR,20949
2024-07-14,AAR,22682
2024-07-15,AAR,32763
2024-07-16,AAR,35468
2024-07-17,AAR,36547
2024-07-18,AAR,36119
2024-07-19,AAR,34718
2024-07-20,AAR,19961
2024-07-21,AAR,21664
2024-07-22,AAR,32431
2024-07-23,AAR,35110
2024-07-24,AAR,36652
2024-07-25,AAR,35373
2024-07-26,AAR,34431
2024-07-27,AAR,22582
2024-07-28,AAR,22027
2024-07-29,AAR,32067
2024-07-30,AAR,34911
2024-07-31,AAR,35765
2024-08-01,AAR,35878
2024-08-02,AAR,34487
2024-08-03,AAR,22133
2024-08-04,AAR,22186
2024-08-05,AAR,33112
2024-08-06,AAR,35331
2024-08-07,AAR,36667
2024-08-08,AAR,35509
2024-08-09,AAR,32193
2024-08-10,AAR,22199
2024-08-11,AAR,22996
2024-08-12,AAR,33127
2024-08-13,AAR,35503
2024-08-14,AAR,37606
2024-08-15,AAR,36343
2024-08-16,AAR,34676
2024-08-17,AAR,22797
2024-08-18,AAR,20897
2024-08-19,AAR,31668
2024-08-20,AAR,34985
2024-08-21,AAR,36401
2024-08-22,AAR,34997
2024-08-23,AAR,33653
2024-08-24,AAR,22523
2024-08-25,AAR,22347
2024-08-26,AAR,31233
2024-08-27,AAR,34997
2024-08-28,AAR,36079
2024-08-29,AAR,35044
2024-08-30,AAR,33968
2024-08-31,AAR,21518
2024-09-01,AAR,22880
2024-09-02,AAR,14939
2024-09-03,AAR,35977
2024-09-04,AAR,38623
2024-09-05,AAR,37475
2024-09-06,AAR,36478
2024-09-07,AAR,21477
2024-09-08,AAR,23760
2024-09-09,AAR,35327
2024-09-10,AAR,38230
2024-09-11,AAR,39031
2024-09-12,AAR,38778
2024-09-13,AAR,37297
2024-09-14,AAR,24473
2024-09-15,AAR,24154
2024-09-16,AAR,35319
2024-09-17,AAR,38667
2024-09-18,AAR,39300
2024-09-19,AAR,38515
2024-09-20,AAR,36687
2024-09-21,AAR,23611
2024-09-22,AAR,23164
